"首站抵達地
First Destination",,"總計
Grand Total",one,two,12歲以下,three,four,"13至19歲
",five,six,"20至29歲
",seven,eight,"30至39歲
",nine,ten,"40至49歲
",eleven,twel,50至59歲,thirteen,fourteen,"60至65歲
60-65 years old",fifteen,sixteen,"66歲以上
66 years old and Over",sevesteen,nighteen
亞洲地區,香港 Hong Kong,743443,371254,372189,47414,23261,24153,22532,10234,12298,105676,39288,66388,151106,68195,82911,161457,87676,73781,132112,73126,58986,59339,33581,25758,63807,35893,27914
,澳門 Macao,275979,151509,124470,18385,9430,8955,7953,3788,4165,31793,13001,18792,51029,24779,26250,60116,34151,25965,56107,34316,21791,24420,15274,9146,26176,16770,9406
,大陸 Mainland China,1761134,1039893,721241,86645,45052,41593,56075,27404,28671,146403,67694,78709,229321,132209,97112,389252,239686,149566,412077,251534,160543,205361,127283,78078,236000,149031,86969
,日本 Japan,4225804,1840780,2385024,398628,201525,197103,177347,86100,91247,670133,281163,388970,954376,425974,528402,826252,362065,464187,591890,233221,358669,279792,110117,169675,327386,140615,186771
,"韓國 Korea,Republic of",954693,314240,640453,60286,28628,31658,51455,18541,32914,204603,54699,149904,218400,69827,148573,190664,62405,128259,127211,42491,84720,50016,17571,32445,52058,20078,31980
,新加坡 Singapore,316715,141130,175585,26140,13808,12332,14463,6884,7579,49144,18287,30857,71604,30363,41241,63919,30349,33570,46966,21061,25905,20926,9216,11710,23553,11162,12391
,馬來西亞 Malaysia,245136,115490,129646,15523,7927,7596,9417,4828,4589,33846,14793,19053,46134,21991,24143,48152,22960,25192,43726,19760,23966,22400,10307,12093,25938,12924,13014
,泰國 Thailand,777326,371310,406016,43145,21793,21352,26701,12666,14035,140490,60154,80336,186939,90541,96398,159285,77818,81467,118302,56774,61528,50949,25289,25660,51515,26275,25240
,菲律賓 Philippines,208399,108378,100021,13718,7020,6698,8356,4193,4163,38373,16969,21404,54674,28467,26207,41217,22521,18696,28761,15916,12845,11557,6419,5138,11743,6873,4870
,印尼 Indonesia,125899,60161,65738,9275,4714,4561,4446,2112,2334,16343,6526,9817,28374,13424,14950,28763,13178,15585,20450,10310,10140,8815,4781,4034,9433,5116,4317
,汶淶 Brunei,6821,2689,4132,193,98,95,187,86,101,438,177,261,598,252,346,828,309,519,1335,462,873,1126,399,727,2116,906,1210
,越南 Vietnam,853859,431997,421862,51344,26277,25067,25606,12282,13324,66768,31139,35629,133638,67752,65886,196085,94259,101826,170860,90549,80311,97638,50545,47093,111920,59194,52726
,緬甸 Myanmar,7919,4630,3289,417,219,198,175,82,93,715,499,216,1204,774,430,1662,920,742,1859,1055,804,903,495,408,984,586,398
,柬埔寨 Cambodia,46050,28698,17352,1650,830,820,1085,635,450,8813,6112,2701,9870,6735,3135,9570,5169,4401,7231,4375,2856,3706,2282,1424,4125,2560,1565
,阿拉伯聯合大公國 United Arab Emirates,121767,49053,72714,3361,1713,1648,4021,1832,2189,16523,6340,10183,24811,10424,14387,19663,7876,11787,23457,8209,15248,14449,5499,8950,15482,7160,8322
,土耳其 Turkey,78286,30536,47750,1530,777,753,2043,1035,1008,7830,3196,4634,13133,5467,7666,12800,4686,8114,18277,5944,12333,11372,4221,7151,11301,5210,6091
,亞洲其他地區 Others,3084,1506,1578,215,113,102,96,46,50,359,190,169,527,275,252,622,303,319,622,306,316,319,135,184,324,138,186
