統計期,合計,合計年增率(%),亞洲,亞洲年增率(%),美洲,美洲年增率(%),歐洲,歐洲年增率(%),大洋洲,大洋洲年增率(%),非洲,非洲年增率(%)
1月,20969,-98.52,12313,-99.03,7810,-90.04,500,-98.21,254,-98.98,5,150
2月,36861,-93.89,31211,-93.97,5041,-88.63,382,-97.92,182,-99.14,-,-100
3月,34733,-65.68,27824,-64.9,5995,-55.3,554,-84.59,280,-94.24,3,--
4月,26318,135.66,19591,94.09,5857,594.78,475,608.96,356,206.9,-,--
5月,24495,39.09,16184,6.68,7754,336.85,308,-27.36,195,111.96,3,--
6月,37120,103.41,18570,38.13,17814,383.16,549,-17.44,149,-59.29,2,--
7月,36951,31.47,18872,-12.27,17175,238.69,499,-59.76,286,78.75,11,1000
8月,39423,4.33,18482,-31.86,18919,136.81,1078,-55.38,864,544.78,2,-66.67
9月,28132,-11.04,17789,-22.43,7928,40.29,1305,-51.43,1036,595.3,6,200
10月,25928,-14.68,18011,-25.49,6690,53.23,635,-58.09,473,164.25,7,600
11月,22401,-5.35,16084,-10.29,5642,12.26,435,-9.75,134,-15.19,15,400
12月,26646,31.14,17805,23.41,7714,49.76,419,1.95,624,197.14,11,57.14
