month,count,и╚мw,м№мw,╝┌мw,дjмvмw,лDмw
100ж~1ды,690743,628836,42462,8804,10332,136
100ж~2ды,804856,746318,31627,18617,8061,2
100ж~3ды,667160,606326,32614,21929,5729,-
100ж~4ды,752558,690567,33641,20814,7390,-
100ж~5ды,809015,736192,41596,23542,6729,45
100ж~6ды,890332,804014,49296,26447,9567,-
100ж~7ды,1026829,933756,53351,26865,12056,1
100ж~8ды,911458,825270,51321,23825,10385,44
100ж~9ды,823272,745564,40683,27469,8739,-
100ж~10ды,844814,778938,37091,19162,8766,2
100ж~11ды,706108,655117,31113,11792,7270,1
100ж~12ды,656728,611316,28464,9796,6590,7
101ж~1ды,901293,805418,65163,20476,8989,215
101ж~2ды,772495,711348,35539,16617,8120,123
101ж~3ды,723643,659089,37076,21458,5751,6
101ж~4ды,851486,782368,42379,19899,6326,342
101ж~5ды,849354,774744,44586,22922,5752,1138
101ж~6ды,908600,817506,54875,27534,8555,-
101ж~7ды,1041365,941943,60592,27807,10824,-
101ж~8ды,933988,842583,57535,25371,8342,1
101ж~9ды,818593,744064,43090,25303,5968,1
101ж~10ды,912063,843869,40420,21317,6349,-
101ж~11ды,773440,731147,28255,6807,7102,-
101ж~12ды,753440,713518,27504,5249,7088,-
102ж~1ды,753483,704042,35115,5519,8764,3
102ж~2ды,966575,914067,34882,7905,9696,1
102ж~3ды,814558,770918,28489,7939,7182,-
102ж~4ды,897886,850233,32382,8884,6321,-
102ж~5ды,853288,799738,36163,10851,6518,-
102ж~6ды,1002864,934271,46373,13684,8528,-
102ж~7ды,1089257,1017208,49785,12342,9914,-
102ж~8ды,1022387,955905,46789,11303,8369,8
102ж~9ды,977616,914652,39462,15228,8241,-
102ж~10ды,1007052,952631,33619,12034,8706,-
102ж~11ды,862989,815172,32246,8089,7412,-
102ж~12ды,804953,760100,31290,6022,7469,2
103ж~1ды,854554,791492,43393,8458,11086,-
103ж~2ды,957463,906483,31186,8002,11642,-
103ж~3ды,873540,820385,32740,9160,9544,-
103ж~4ды,985216,930624,36224,9399,8906,4
103ж~5ды,1047248,982395,42502,12587,9552,1
103ж~6ды,1090022,1014064,50767,14405,10289,2
103ж~7ды,1163193,1085808,52984,13380,10863,-
103ж~8ды,1063126,989696,49687,13390,10277,-
103ж~9ды,965466,897568,42727,15939,9153,-
103ж~10ды,1049968,990199,38433,12914,8346,-
103ж~11ды,886182,833452,36569,9096,7002,-
103ж~12ды,908657,853498,38267,6947,9682,6
104ж~1ды,920674,857718,42415,8166,12100,4
104ж~2ды,1015518,950739,41876,10271,12494,-
104ж~3ды,1075244,1010951,43303,11384,9588,-
104ж~4ды,1139384,1076810,42180,11913,8265,-
104ж~5ды,1153079,1083466,46860,14621,8112,-
104ж~6ды,1173516,1090220,55634,19020,8565,-
104ж~7ды,1261540,1175786,56634,19376,9623,7
104ж~8ды,1157371,1080572,51541,16535,8647,-
104ж~9ды,1072009,998619,46318,17993,8794,-
104ж~10ды,1181248,1115273,41081,14582,10166,-
104ж~11ды,1048893,986063,41537,10084,11152,6
104ж~12ды,984500,927071,38888,7584,10884,13
105ж~1ды,1085927,1009041,53233,8849,14744,3
105ж~2ды,1240755,1162395,50607,11853,15316,40
105ж~3ды,1096211,1029041,41910,11730,12835,-
105ж~4ды,1237213,1171951,43426,10497,11238,16
105ж~5ды,1230556,1158372,48882,12126,10192,-
105ж~6ды,1363849,1275594,60223,17200,10766,11
105ж~7ды,1397282,1292011,58708,31908,14423,186
105ж~8ды,1260945,1161500,55264,30293,13463,406
105ж~9ды,1247991,1130100,59379,42615,14152,1138
105ж~10ды,1241307,1139336,53380,32887,13103,1105
105ж~11ды,1113547,1020381,51260,25904,14167,1421
105ж~12ды,1073340,989345,46919,22225,13327,880
106ж~1ды,1150837,1039805,62612,29208,16437,1865
106ж~2ды,1284579,1187260,47867,29732,17415,1819
106ж~3ды,1212728,1108668,49773,38337,13759,1740
106ж~4ды,1319531,1217543,51335,35048,13707,1181
106ж~5ды,1371312,1237914,64305,53888,13258,1031
106ж~6ды,1410713,1272308,68458,53395,14924,807
106ж~7ды,1480440,1355325,64369,44015,15249,1310
106ж~8ды,1361761,1241730,61484,40719,16511,1197
106ж~9ды,1232231,1095079,62607,58993,14052,1201
106ж~10ды,1416082,1285049,62084,50399,16410,1704
106ж~11ды,1253282,1149402,53621,34306,14251,1489
106ж~12ды,1161083,1063679,48846,28489,18344,1396
107ж~1ды,1211869,1098892,60440,30334,19770,2386
107ж~2ды,1329184,1208320,57011,37886,23589,2312
107ж~3ды,1385236,1252962,58732,50514,20488,2234
107ж~4ды,1504343,1377983,56689,47762,19929,1850
107ж~5ды,1441110,1305154,62852,53481,18131,1278
107ж~6ды,1521633,1378755,71599,52862,17669,647
107ж~7ды,1574572,1437850,65030,49581,20519,1477
107ж~8ды,1460467,1326556,63137,50130,18974,1567
107ж~9ды,1293123,1143666,62151,68194,17085,1916
107ж~10ды,1389622,1274004,54918,43978,15562,964
107ж~11ды,1274752,1179599,49486,29375,16223,5
107ж~12ды,1258773,1168806,47994,23680,16335,13
108ж~1ды,1299722,1191620,63341,25186,19545,3
108ж~2ды,1468616,1368011,50870,23669,22154,1
108ж~3ды,1396026,1277735,52457,31399,18198,3
108ж~4ды,1415406,1308012,51136,29855,18225,-
108ж~5ды,1463759,1340549,62727,34683,17287,5
108ж~6ды,1570675,1446080,63764,34293,18918,2
108ж~7ды,1581016,1467067,57914,30449,17311,6
108ж~8ды,1481669,1367572,58819,31984,23099,1
108ж~9ды,1372190,1247990,62134,39574,18506,-
108ж~10ды,1517174,1399739,57374,35967,20452,4
108ж~11ды,1343563,1240902,48778,27004,17708,-
108ж~12ды,1191519,1102196,47206,19520,16732,2
109ж~1ды,1412220,1274944,78435,27945,24803,2
109ж~2ды,603211,517511,44329,18325,21262,1
109ж~3ды,101217,79265,13413,3596,4859,-
109ж~4ды,11168,10094,843,67,116,-
109ж~5ды,17611,15170,1775,424,92,-
109ж~6ды,18249,13444,3687,665,366,-
109ж~7ды,28106,21512,5071,1240,160,1
109ж~8ды,37786,27122,7989,2416,134,6
109ж~9ды,31622,22932,5651,2687,149,2
109ж~10ды,30390,24172,4366,1515,179,1
109ж~11ды,23666,17929,5026,482,158,3
109ж~12ды,20318,14427,5151,411,210,7
110ж~1ды,20969,12313,7810,500,254,5
110ж~2ды,36861,31211,5041,382,182,-
110ж~3ды,34733,27824,5995,554,280,3
110ж~4ды,26318,19591,5857,475,356,-
110ж~5ды,24495,16184,7754,308,195,3
110ж~6ды,37120,18570,17814,549,149,2
110ж~7ды,36951,18872,17175,499,286,11
110ж~8ды,39423,18482,18919,1078,864,2
110ж~9ды,28132,17789,7928,1305,1036,6
110ж~10ды,25928,18011,6690,635,473,7
110ж~11ды,22401,16084,5642,435,134,15
110ж~12ды,26646,17805,7714,419,624,11
111ж~1ды,25925,15746,8750,677,641,6
111ж~2ды,59362,49995,7321,945,1012,18
111ж~3ды,44089,32841,8942,1070,1104,16
111ж~4ды,40676,27656,10590,1218,1126,5
111ж~5ды,45602,28002,14234,2047,1234,12
111ж~6ды,66870,40673,20937,2991,2146,21
111ж~7ды,102395,69169,26494,3629,3018,16
111ж~8ды,128811,83879,35754,6133,2918,15
111ж~9ды,126864,88438,25855,9039,3375,28
111ж~10ды,172319,135047,24432,8068,4709,19
111ж~11ды,276570,229796,29836,11077,5731,27
111ж~12ды,393338,336620,37357,10642,8568,22
112ж~1ды,696474,607783,51411,20834,16178,59
112ж~2ды,652943,591293,31667,14325,15499,18
112ж~3ды,736283,661285,39901,22394,12497,24
112ж~4ды,830184,755352,38832,21624,13124,28
112ж~5ды,877833,790604,46289,26736,11312,12
112ж~6ды,1131234,1021676,56388,34160,14243,14
112ж~7ды,1235822,1128885,59025,29139,16721,37
112ж~8ды,1182468,1083486,52875,27283,14938,25
112ж~9ды,1080168,980814,47413,35315,13596,47
112ж~10ды,1218643,1126806,42556,33241,15463,32
112ж~11ды,1096976,1019656,37845,25959,13399,19
112ж~12ды,1056806,984674,39261,20031,12540,25
