year,count,亞洲,美洲,歐洲,大洋洲,非洲
100,9583873,8762214,473259,239062,101614,238
101,10239760,9367597,537014,240760,89166,1826
102,11052908,10388937,446595,119800,97120,14
103,11844635,11095664,495479,133677,116342,13
104,13182976,12353288,548267,161529,118390,30
105,14588923,13539067,623191,258087,157726,5206
106,15654579,14253762,697361,496529,184317,16740
107,16644684,15152547,710039,537777,224274,16649
108,17101335,15757473,676520,363583,228135,27
109,2335564,2038522,175736,59773,52488,23
110,359977,232736,114339,7139,4833,65
111,1482821,1137862,250502,57536,35582,205
112,11795834,10752314,543463,311041,169510,340
